Pattern,Problem,LeetCode Link,Short Description,Brute Force Intuition,Better Solution Intuition,Optimal Solution Intuition,Time Complexity (Brute),Time Complexity (Optimal),Space Complexity (Brute),Space Complexity (Optimal)
Arrays & Hashing,Two Sum,https://leetcode.com/problems/two-sum/,Find indices of two numbers adding to target,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Detect if any value repeats,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Check if two strings are anagrams,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Group strings that are anagrams,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Return K most frequent integers,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Return product of array except for each index,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,Serialize list of strings,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Length of longest sequence of consecutive ints,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Set entire row & col to zero if element is zero,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
Arrays & Hashing,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays/,Return intersection of two arrays,Nested loops or sorting to compare every pair/element.,Use hash maps/sets to store seen data and query in O(1).,Linear scan with hash map achieving O(n) overall.,O(n^2),O(n),O(1),O(n)
